Category: All categories

Region,trauma: (2011)
Vermont,100
Maryland,84
Montana,83
Maine,75
New Mexico,75
Wyoming,73
Delaware,71
Tennessee,71
West Virginia,68
District of Columbia,66
Oregon,66
South Dakota,65
Hawaii,64
North Dakota,64
South Carolina,64
Alaska,64
Pennsylvania,63
Oklahoma,63
Massachusetts,62
Colorado,62
Nebraska,61
Missouri,60
New Hampshire,60
Iowa,60
Arizona,60
Kansas,60
Idaho,58
Kentucky,58
Rhode Island,58
Arkansas,58
Connecticut,57
Wisconsin,57
Minnesota,57
Washington,56
Utah,56
Virginia,55
Indiana,54
Louisiana,54
Ohio,53
North Carolina,53
Florida,52
Alabama,51
Michigan,51
Nevada,50
California,49
New York,48
New Jersey,48
Illinois,47
Texas,46
Mississippi,45
Georgia,42
