Category: All categories

Region,trauma: (2005)
Maryland,100
Maine,93
Oregon,92
Massachusetts,87
Wyoming,86
New Mexico,86
Pennsylvania,84
Ohio,83
Missouri,82
Wisconsin,80
Colorado,79
Oklahoma,78
West Virginia,77
Kentucky,77
South Carolina,76
Montana,76
Indiana,75
South Dakota,75
New Hampshire,75
Delaware,74
Vermont,73
Alabama,72
Mississippi,71
North Carolina,70
District of Columbia,70
Minnesota,69
Tennessee,69
Michigan,69
Idaho,68
Virginia,68
Arizona,68
Florida,68
Louisiana,67
Connecticut,66
Washington,66
Arkansas,65
Utah,64
Nebraska,64
Texas,64
Rhode Island,63
New York,63
Illinois,62
North Dakota,60
Iowa,59
Hawaii,59
Georgia,58
California,58
Kansas,58
Alaska,56
Nevada,54
New Jersey,52
