Category: All categories

Region,trauma: (2012)
Vermont,100
Maryland,94
Maine,94
South Dakota,92
New Mexico,91
Montana,90
West Virginia,88
Oregon,87
Wyoming,85
Delaware,83
Alaska,82
Tennessee,82
North Dakota,79
Kentucky,75
Connecticut,75
Iowa,75
Colorado,74
Oklahoma,74
Massachusetts,74
Nebraska,73
Arizona,73
Pennsylvania,73
Rhode Island,72
South Carolina,72
New Hampshire,71
Kansas,70
District of Columbia,70
Utah,69
Arkansas,69
Wisconsin,68
Alabama,67
Indiana,67
Idaho,66
Minnesota,65
Missouri,65
Virginia,65
Mississippi,64
Florida,64
Ohio,64
Hawaii,63
California,63
New York,63
Washington,62
Louisiana,61
Illinois,61
Nevada,60
North Carolina,60
New Jersey,57
Michigan,56
Texas,55
Georgia,49
