Category: All categories

Region,trauma: (2010)
Montana,100
Maryland,96
West Virginia,89
New Mexico,87
Tennessee,83
Maine,80
Oregon,78
Kentucky,75
South Carolina,73
Alaska,73
New Hampshire,73
Colorado,71
North Dakota,71
Connecticut,70
Massachusetts,69
Pennsylvania,69
Arizona,68
Indiana,67
Vermont,66
Minnesota,66
Missouri,65
Nebraska,65
Hawaii,65
Michigan,64
Ohio,64
North Carolina,63
Iowa,63
Oklahoma,63
Washington,62
Kansas,62
Wisconsin,61
Delaware,61
Louisiana,59
District of Columbia,59
Arkansas,58
Mississippi,58
Utah,57
Alabama,57
Illinois,57
Georgia,56
South Dakota,56
New York,56
New Jersey,56
Nevada,55
Rhode Island,55
Florida,54
Wyoming,53
Idaho,53
California,52
Texas,51
Virginia,41
