Category: All categories

Region,overdose: (2011)
South Dakota,100
West Virginia,98
Alaska,96
Kentucky,94
Pennsylvania,92
Wyoming,92
New Mexico,88
New Hampshire,88
Oklahoma,88
Vermont,88
Idaho,88
Maine,85
North Dakota,85
Montana,84
Arkansas,84
Indiana,84
Utah,84
Oregon,82
Illinois,81
Delaware,80
Tennessee,80
Nevada,79
Missouri,79
Alabama,79
Rhode Island,78
Kansas,78
Nebraska,77
Texas,77
Florida,76
Wisconsin,76
Louisiana,76
Michigan,76
New York,75
South Carolina,75
Connecticut,75
Colorado,75
Ohio,74
Arizona,74
Mississippi,73
Iowa,73
Washington,73
California,72
Minnesota,71
District of Columbia,70
Massachusetts,70
Maryland,70
Georgia,69
Virginia,68
Hawaii,67
North Carolina,67
New Jersey,62
