Category: All categories

Region,overdose: (2019)
West Virginia,100
Rhode Island,85
Vermont,82
New Hampshire,82
Maine,81
Tennessee,80
Ohio,80
Pennsylvania,78
Idaho,77
Wyoming,76
Indiana,76
North Dakota,76
Montana,76
South Dakota,75
Missouri,75
Alaska,74
Massachusetts,73
Wisconsin,72
Kentucky,71
New Mexico,71
Minnesota,70
Michigan,69
Delaware,69
Arizona,68
Arkansas,68
Colorado,67
Washington,67
Utah,67
North Carolina,67
Oregon,67
Oklahoma,65
Illinois,65
Kansas,64
Nebraska,64
Virginia,62
Iowa,61
Connecticut,61
Mississippi,60
Maryland,60
Georgia,60
Florida,59
New Jersey,58
Texas,57
Alabama,57
Nevada,56
South Carolina,56
New York,56
Louisiana,55
District of Columbia,54
California,53
Hawaii,51
