Category: All categories

Region,overdose: (2012)
West Virginia,100
New Mexico,91
Delaware,89
Alaska,88
Oklahoma,85
North Dakota,84
Kentucky,82
Wyoming,81
Montana,80
Oregon,80
Vermont,79
Idaho,79
Maine,78
Pennsylvania,78
Ohio,77
Louisiana,76
Arkansas,76
Utah,76
Georgia,76
South Dakota,75
Illinois,75
New Hampshire,75
Texas,74
Massachusetts,73
Nebraska,73
Washington,73
Indiana,73
Michigan,73
Tennessee,73
Colorado,73
Alabama,73
Kansas,72
Mississippi,72
Missouri,72
New York,71
Iowa,71
Nevada,71
Wisconsin,69
Connecticut,69
North Carolina,68
California,68
Rhode Island,67
Florida,67
Hawaii,67
Arizona,67
District of Columbia,65
Virginia,65
South Carolina,65
Minnesota,64
Maryland,64
New Jersey,61
