Category: All categories

Region,overdose: (2017)
West Virginia,100
Ohio,79
Vermont,79
New Hampshire,76
Pennsylvania,75
Maine,74
North Dakota,70
Kentucky,69
Indiana,69
Michigan,66
Wyoming,65
Missouri,65
Wisconsin,64
Massachusetts,63
New Mexico,63
Alaska,62
Rhode Island,62
South Dakota,62
North Carolina,60
Tennessee,60
Colorado,60
Idaho,60
Maryland,59
Montana,59
Connecticut,57
Iowa,56
Delaware,56
Illinois,56
Arizona,55
Oklahoma,55
Arkansas,55
New Jersey,55
Utah,55
Minnesota,55
Georgia,55
Virginia,54
New York,54
Nebraska,53
Mississippi,53
District of Columbia,52
Alabama,52
Florida,51
Oregon,51
Washington,48
South Carolina,48
Louisiana,47
Nevada,47
Kansas,46
Texas,46
California,45
Hawaii,42
