Category: All categories

Region,overdose: (2014)
West Virginia,100
Rhode Island,91
Massachusetts,91
New Hampshire,87
Alaska,86
Kentucky,85
Ohio,85
South Dakota,84
New Mexico,84
Idaho,84
Pennsylvania,82
Michigan,82
Wyoming,80
North Dakota,80
Montana,80
Maine,79
Colorado,78
Oklahoma,78
Kansas,78
Utah,77
North Carolina,77
Nevada,77
Tennessee,76
Vermont,76
Nebraska,76
Mississippi,75
Delaware,75
Indiana,75
Alabama,75
Georgia,74
Arkansas,74
Iowa,73
Washington,73
New York,73
Wisconsin,72
Louisiana,72
Missouri,71
New Jersey,71
Illinois,71
Arizona,70
California,69
Minnesota,69
Florida,69
Connecticut,69
Hawaii,68
Texas,68
South Carolina,68
Maryland,65
District of Columbia,65
Oregon,61
Virginia,58
