Category: All categories

Region,overdose: (2005)
Montana,100
Maine,98
Vermont,95
New Mexico,91
New Hampshire,91
Louisiana,86
Oregon,84
Indiana,84
Iowa,80
Tennessee,79
Hawaii,79
Arizona,78
Pennsylvania,77
Arkansas,77
Michigan,77
West Virginia,76
South Carolina,76
Connecticut,76
South Dakota,76
Maryland,74
Alaska,72
Massachusetts,72
Idaho,72
Washington,71
Kentucky,71
Texas,71
Rhode Island,70
Kansas,70
North Carolina,70
Colorado,70
Ohio,69
Mississippi,69
Missouri,69
Wyoming,68
Oklahoma,68
Minnesota,68
Alabama,67
New Jersey,66
Wisconsin,65
Georgia,65
New York,65
Nevada,65
Illinois,65
Nebraska,64
Florida,64
California,61
Virginia,60
Utah,58
Delaware,57
District of Columbia,47
North Dakota,45
