Category: All categories

Region,overdose: (2013)
West Virginia,100
Vermont,98
Alaska,95
Wyoming,92
New Mexico,88
Washington,88
New Hampshire,87
Ohio,87
Rhode Island,87
Arkansas,87
Alabama,86
Pennsylvania,86
Oklahoma,86
Kansas,86
Utah,85
Delaware,85
Michigan,84
South Dakota,84
Maine,84
Kentucky,84
Nevada,83
Illinois,83
Mississippi,80
Massachusetts,80
New York,80
Louisiana,79
Montana,79
Missouri,79
Idaho,79
Texas,78
Tennessee,78
North Dakota,78
Connecticut,77
Florida,77
New Jersey,76
Indiana,76
Georgia,75
Colorado,75
Nebraska,73
Virginia,73
Minnesota,72
Arizona,71
North Carolina,70
South Carolina,70
California,70
District of Columbia,70
Wisconsin,70
Iowa,70
Maryland,64
Hawaii,63
Oregon,55
