Category: All categories

Region,painless death: (2004)
North Dakota,
Iowa,
Mississippi,
Nevada,
Indiana,
Arizona,
District of Columbia,
Missouri,
North Carolina,
Massachusetts,
New York,100
Alaska,
Alabama,
Arkansas,
California,
Colorado,
Connecticut,
Delaware,
Florida,
Georgia,
Hawaii,
Idaho,
Illinois,
Kansas,
Kentucky,
Louisiana,
Maryland,
Maine,
Michigan,
Minnesota,
Montana,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Texas,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Wyoming,
