Category: All categories

Region,painless death: (2011)
Wyoming,
New Hampshire,
Arkansas,
West Virginia,
Kansas,
Nebraska,
Maryland,
Utah,
Oregon,
Virginia,
Georgia,
Minnesota,
Florida,100
Colorado,
Indiana,
Ohio,66
New York,66
Texas,66
Wisconsin,
Pennsylvania,
California,66
Michigan,
New Jersey,33
Illinois,33
North Carolina,
Washington,
Massachusetts,
Alaska,
Alabama,
Arizona,
Connecticut,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Idaho,
Kentucky,
Louisiana,
Maine,
Missouri,
Mississippi,
Montana,
North Dakota,
New Mexico,
Nevada,
Oklahoma,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Vermont,
