Category: All categories

Region,fast death: (2016)
Nebraska,100
Montana,
Arkansas,69
Wyoming,
Rhode Island,
Missouri,61
Nevada,56
South Carolina,51
Georgia,48
Kansas,48
North Carolina,48
West Virginia,
New Jersey,46
Kentucky,46
Indiana,46
South Dakota,
Virginia,43
Arizona,43
Tennessee,43
Oklahoma,43
Minnesota,43
Louisiana,43
California,43
Michigan,43
Mississippi,43
Colorado,41
Texas,41
Hawaii,
Utah,41
New Mexico,41
Connecticut,41
Delaware,
New Hampshire,38
Oregon,38
Ohio,38
Massachusetts,38
Florida,38
Pennsylvania,38
Illinois,38
Vermont,
Idaho,35
Washington,35
New York,35
Wisconsin,35
Maryland,35
Alabama,33
Iowa,33
District of Columbia,
Alaska,
Maine,
North Dakota,
