Category: All categories

Region,fast death: (2013)
Mississippi,100
Wyoming,
Idaho,77
South Dakota,
Oklahoma,67
Missouri,60
North Dakota,
North Carolina,57
Alabama,57
Georgia,55
Kentucky,55
Nevada,54
South Carolina,54
Texas,54
Virginia,54
Kansas,54
Washington,52
New Jersey,52
Connecticut,52
Indiana,50
Arizona,50
Maine,
Iowa,50
California,49
Delaware,
Montana,
New Hampshire,49
Maryland,47
Florida,47
Pennsylvania,47
Nebraska,45
Wisconsin,45
Ohio,45
Illinois,44
Louisiana,44
New York,44
Colorado,44
Michigan,44
Tennessee,42
Arkansas,42
New Mexico,40
Massachusetts,40
Minnesota,39
Utah,39
Hawaii,
West Virginia,
Rhode Island,
Vermont,
Oregon,29
District of Columbia,
Alaska,
