Category: All categories

Region,conversion therapy: (2011)
Wyoming,100
Hawaii,20
South Dakota,17
North Dakota,13
Kentucky,9
New Hampshire,9
Rhode Island,8
New Mexico,6
Tennessee,6
Virginia,6
Missouri,5
Pennsylvania,5
Connecticut,5
North Carolina,5
Iowa,5
Ohio,4
Michigan,4
Utah,4
Oklahoma,4
Nebraska,4
Minnesota,3
Maryland,3
Georgia,3
South Carolina,3
Oregon,3
Kansas,3
New York,3
Florida,3
Wisconsin,2
Illinois,2
Washington,2
California,2
Colorado,2
Indiana,2
Massachusetts,2
Texas,1
Arizona,1
Alaska,
Alabama,
Arkansas,
District of Columbia,
Delaware,
Idaho,
Louisiana,
Maine,
Mississippi,
Montana,
New Jersey,
Nevada,
Vermont,
West Virginia,
