Category: All categories

Region,conversion therapy: (2007)
West Virginia,100
Delaware,38
New Mexico,29
Indiana,13
Washington,10
Utah,9
Tennessee,8
Alabama,6
Minnesota,5
Connecticut,4
Virginia,3
Florida,3
Illinois,3
North Carolina,2
Massachusetts,2
California,1
Texas,<1
Alaska,
Arkansas,
Arizona,
Colorado,
District of Columbia,
Georgia,
Hawaii,
Iowa,
Idaho,
Kansas,
Kentucky,
Louisiana,
Maryland,
Maine,
Michigan,
Missouri,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
Nevada,
New York,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Vermont,
Wisconsin,
Wyoming,
