Category: All categories

Region,conversion therapy: (2017)
North Dakota,100
Vermont,63
Delaware,57
New Hampshire,53
Connecticut,52
District of Columbia,52
West Virginia,50
Rhode Island,47
New Mexico,44
Maine,42
Wyoming,37
Idaho,36
Ohio,36
Massachusetts,33
Pennsylvania,33
Nevada,33
Indiana,31
Oregon,31
Wisconsin,31
New York,31
Iowa,31
Colorado,30
Missouri,30
South Dakota,30
New Jersey,30
Alaska,28
Michigan,28
Oklahoma,28
Minnesota,28
Washington,27
Maryland,27
Utah,27
Kentucky,27
Florida,26
Hawaii,24
Virginia,24
California,24
Illinois,23
North Carolina,23
Tennessee,23
Kansas,21
Arizona,21
Alabama,21
South Carolina,20
Georgia,20
Louisiana,20
Texas,18
Montana,17
Mississippi,17
Arkansas,17
Nebraska,15
