Category: All categories

Region,antidepressants: (2007)
Vermont,100
North Dakota,73
Delaware,69
West Virginia,63
Alaska,61
Maine,55
South Dakota,54
Kentucky,54
Rhode Island,50
Mississippi,49
Oregon,49
Indiana,47
Alabama,45
Minnesota,44
Connecticut,44
Louisiana,44
Tennessee,44
Maryland,43
North Carolina,43
Iowa,43
Utah,42
Wisconsin,41
Massachusetts,41
Washington,41
Pennsylvania,41
Colorado,40
South Carolina,39
Kansas,38
Oklahoma,38
Ohio,38
Arizona,38
Montana,38
Michigan,37
Missouri,37
Illinois,36
New York,35
Texas,35
Florida,33
Georgia,33
New Jersey,33
Virginia,32
New Mexico,30
Idaho,30
District of Columbia,29
Arkansas,29
New Hampshire,28
Wyoming,27
California,27
Hawaii,25
Nevada,25
Nebraska,20
