Category: All categories

Region,antidepressants: (2016)
West Virginia,100
South Dakota,95
Idaho,89
North Dakota,88
Wyoming,88
Montana,86
Nebraska,79
Utah,79
Kentucky,78
Minnesota,78
Arkansas,78
Iowa,75
New Mexico,74
Kansas,74
Vermont,73
Maine,73
Tennessee,72
Colorado,72
Oregon,72
Missouri,72
Alabama,71
Rhode Island,70
Connecticut,70
Alaska,70
Ohio,69
Oklahoma,69
New Hampshire,69
Washington,69
Indiana,68
South Carolina,68
Delaware,67
Pennsylvania,67
Mississippi,66
Michigan,66
Wisconsin,65
Louisiana,65
Arizona,64
Massachusetts,63
North Carolina,60
Virginia,59
Nevada,58
New Jersey,56
Illinois,56
Maryland,55
Texas,55
Georgia,55
California,54
New York,53
District of Columbia,53
Hawaii,52
Florida,50
