Category: All categories

Region,antidepressants: (2017)
West Virginia,100
Wyoming,96
Montana,94
Vermont,90
Utah,86
Maine,83
Kentucky,83
Rhode Island,83
North Dakota,81
Idaho,81
Indiana,78
Arkansas,77
Tennessee,75
Iowa,75
Missouri,74
Colorado,74
Minnesota,74
Alabama,73
Mississippi,73
Washington,71
South Dakota,70
Wisconsin,70
Oregon,70
New Hampshire,69
New Mexico,69
Ohio,69
Oklahoma,69
Arizona,69
Louisiana,67
Massachusetts,67
Connecticut,67
Nebraska,67
Pennsylvania,67
New York,66
Michigan,65
Delaware,65
South Carolina,64
Alaska,64
Maryland,63
Kansas,63
Virginia,63
North Carolina,60
Illinois,58
Texas,58
California,56
Nevada,55
District of Columbia,55
New Jersey,54
Georgia,54
Florida,53
Hawaii,52
