Category: All categories

Region,antidepressants: (2014)
West Virginia,100
Arkansas,99
South Dakota,98
Alaska,96
Montana,92
Idaho,90
Oklahoma,88
Delaware,87
Maine,87
Utah,86
Mississippi,85
Minnesota,85
Kentucky,85
Iowa,85
Nebraska,84
New Mexico,84
Indiana,83
Missouri,82
Tennessee,81
Connecticut,81
Vermont,81
Rhode Island,79
Wyoming,79
Louisiana,78
North Dakota,77
Alabama,77
Michigan,76
Pennsylvania,76
Wisconsin,75
South Carolina,75
Massachusetts,74
Ohio,74
Washington,73
North Carolina,72
Colorado,72
New Hampshire,72
Kansas,70
Arizona,69
District of Columbia,68
Maryland,65
Nevada,65
Georgia,64
Illinois,64
New Jersey,62
Florida,58
California,57
New York,56
Hawaii,56
Texas,55
Virginia,51
Oregon,50
