Category: All categories

Region,antidepressants: (2018)
Montana,100
Wyoming,95
Vermont,91
West Virginia,88
North Dakota,84
Idaho,84
Arkansas,81
New Hampshire,78
Oklahoma,76
Utah,74
Indiana,74
South Dakota,73
Nebraska,72
Oregon,72
Wisconsin,71
New Mexico,70
Kentucky,69
Washington,69
Minnesota,68
Tennessee,68
Missouri,67
Colorado,67
Kansas,67
Iowa,67
Rhode Island,66
Maine,66
Mississippi,66
Alaska,65
Pennsylvania,65
Ohio,65
Delaware,61
Alabama,61
Michigan,60
New York,60
Massachusetts,59
Illinois,59
Arizona,59
Louisiana,58
Virginia,57
District of Columbia,57
Connecticut,56
Nevada,56
Texas,56
South Carolina,55
North Carolina,55
Maryland,54
New Jersey,52
Florida,52
California,51
Georgia,50
Hawaii,43
