Category: All categories

Region,antidepressants: (2004)
Delaware,100
Vermont,64
Mississippi,58
North Dakota,55
Arkansas,52
New Hampshire,50
Oklahoma,49
Nevada,49
New Mexico,47
Nebraska,45
North Carolina,41
Rhode Island,38
Maryland,37
Missouri,37
Maine,37
District of Columbia,36
Oregon,36
Montana,36
Alabama,35
Connecticut,35
Idaho,34
Minnesota,34
Pennsylvania,32
Massachusetts,32
Texas,31
Tennessee,31
Washington,31
Colorado,30
New York,30
Wyoming,29
Wisconsin,29
Louisiana,29
Illinois,28
Georgia,28
Virginia,27
Michigan,26
New Jersey,26
Florida,26
Utah,26
California,25
Ohio,24
Indiana,23
Kansas,21
Arizona,19
Kentucky,18
Iowa,18
West Virginia,16
South Carolina,8
Alaska,
Hawaii,
South Dakota,
