Category: All categories

Region,antidepressants: (2005)
Wyoming,100
West Virginia,67
Vermont,65
Mississippi,61
Rhode Island,61
Kentucky,59
Maine,57
Iowa,56
South Dakota,53
Oregon,52
Utah,52
Colorado,52
Indiana,51
New Mexico,50
Missouri,49
Minnesota,45
Tennessee,45
Louisiana,43
Alaska,42
Massachusetts,42
New Jersey,42
Idaho,41
Washington,40
Virginia,39
Illinois,39
North Carolina,39
Pennsylvania,39
Wisconsin,39
Connecticut,39
Alabama,39
Arizona,39
Kansas,38
Arkansas,38
Michigan,38
Montana,38
Texas,38
Florida,37
Maryland,37
Oklahoma,36
New York,36
Georgia,36
Ohio,36
California,33
Delaware,31
District of Columbia,27
New Hampshire,26
Hawaii,25
South Carolina,24
Nebraska,22
Nevada,19
North Dakota,
