Category: All categories

Region,poisoning: (2021)
North Dakota,100
West Virginia,99
Hawaii,98
Idaho,95
Wyoming,93
Montana,93
Maine,92
Alaska,92
South Dakota,92
Oregon,90
Alabama,89
Vermont,89
Michigan,88
Utah,88
Colorado,87
Minnesota,87
Missouri,87
Indiana,87
New Mexico,86
New Hampshire,85
Arizona,85
Ohio,84
Oklahoma,84
Illinois,84
Kentucky,83
Wisconsin,82
Iowa,82
Florida,82
Tennessee,81
Pennsylvania,81
Georgia,81
Arkansas,81
Washington,81
Nebraska,80
Kansas,79
North Carolina,79
Texas,78
Louisiana,78
Nevada,77
California,76
Massachusetts,75
South Carolina,75
Rhode Island,75
Delaware,74
Maryland,74
Virginia,73
Mississippi,73
District of Columbia,73
Connecticut,68
New York,64
New Jersey,62
