Category: All categories

Region,poisoning: (2006)
Alaska,100
Wyoming,95
New Mexico,92
Iowa,91
South Dakota,90
Rhode Island,89
Nebraska,87
Maine,86
Idaho,86
Delaware,83
Vermont,81
Kentucky,79
New Hampshire,78
North Dakota,78
Colorado,77
West Virginia,76
Minnesota,76
Ohio,75
Indiana,74
North Carolina,74
Wisconsin,73
Oregon,72
Oklahoma,72
Hawaii,72
Maryland,71
Illinois,70
Nevada,70
Kansas,70
South Carolina,69
Montana,69
Michigan,69
Mississippi,69
Tennessee,68
Washington,66
Arkansas,65
Arizona,65
Missouri,64
New Jersey,64
Virginia,63
Pennsylvania,63
Georgia,62
Connecticut,62
District of Columbia,61
Massachusetts,61
Florida,60
Texas,59
Louisiana,59
California,58
Utah,58
Alabama,58
New York,57
