Category: All categories

Region,poisoning: (2008)
Alaska,100
Maine,95
Montana,84
New Hampshire,82
Rhode Island,81
New Mexico,80
West Virginia,80
Iowa,77
Arkansas,77
Indiana,76
Oregon,76
Vermont,76
Kansas,75
South Dakota,73
South Carolina,72
Hawaii,71
Minnesota,71
Michigan,70
Ohio,69
Nebraska,68
Oklahoma,67
Idaho,67
Tennessee,67
Missouri,66
Delaware,65
Colorado,65
Kentucky,64
Alabama,64
Louisiana,64
Massachusetts,63
Wisconsin,63
Maryland,63
Pennsylvania,63
Washington,62
Wyoming,62
Connecticut,62
Mississippi,61
Arizona,61
North Carolina,60
Utah,59
Nevada,58
Illinois,57
District of Columbia,56
Georgia,55
New Jersey,54
New York,53
Florida,53
Texas,52
California,51
North Dakota,47
Virginia,43
