Category: All categories

Region,poisoning: (2017)
Montana,100
Hawaii,99
West Virginia,98
South Dakota,98
Indiana,97
Maine,97
Michigan,96
Vermont,95
Rhode Island,95
Alaska,94
Wyoming,93
Missouri,93
Ohio,93
South Carolina,92
North Dakota,92
New Mexico,91
Pennsylvania,90
Washington,88
Minnesota,87
Wisconsin,86
New Hampshire,86
Idaho,86
Colorado,85
Oregon,85
Kentucky,85
Arizona,84
Nebraska,84
California,83
Utah,83
Alabama,83
Illinois,83
Massachusetts,82
Maryland,82
Tennessee,82
North Carolina,82
Arkansas,82
Iowa,81
Delaware,79
Florida,79
Virginia,77
Georgia,77
Oklahoma,77
Mississippi,77
Texas,76
Nevada,76
New York,76
New Jersey,74
District of Columbia,73
Louisiana,70
Connecticut,69
Kansas,69
