Category: All categories

Region,poisoning: (2010)
West Virginia,100
Hawaii,99
North Dakota,98
Montana,97
Maine,97
Alaska,94
Vermont,92
Indiana,92
Utah,90
Oregon,90
Kentucky,89
New Mexico,88
Wisconsin,88
Nebraska,88
Kansas,86
Wyoming,85
Tennessee,85
Iowa,84
Alabama,84
Colorado,84
Delaware,84
Michigan,84
Idaho,83
Minnesota,82
South Dakota,82
Missouri,82
Rhode Island,81
New Hampshire,81
Maryland,80
Arizona,78
Connecticut,78
Ohio,77
Nevada,77
Pennsylvania,76
South Carolina,76
Arkansas,76
Oklahoma,75
North Carolina,75
Washington,74
New York,74
District of Columbia,73
Louisiana,73
Massachusetts,72
Florida,70
Mississippi,69
Illinois,68
New Jersey,66
Texas,65
Georgia,64
California,48
Virginia,43
