Category: All categories

Region,illegal drugs: (2014)
South Dakota,100
Vermont,
Delaware,75
North Dakota,
Wyoming,
Arkansas,60
New Mexico,59
Kentucky,50
Indiana,50
Idaho,48
Alabama,47
Nebraska,46
New Hampshire,45
Montana,45
Kansas,45
Iowa,45
Ohio,43
West Virginia,43
Oklahoma,42
Louisiana,42
Minnesota,41
Connecticut,41
Wisconsin,41
Maryland,41
Arizona,41
Missouri,40
Georgia,40
Michigan,39
Maine,39
New Jersey,38
North Carolina,38
Utah,37
Tennessee,37
Florida,37
Rhode Island,36
Alaska,
Illinois,36
Pennsylvania,36
Colorado,36
Mississippi,36
Nevada,35
South Carolina,34
California,33
Texas,32
Massachusetts,31
Washington,30
New York,29
Virginia,27
Oregon,27
District of Columbia,26
Hawaii,26
