Category: All categories

Region,illegal drugs: (2013)
South Dakota,100
Delaware,96
Arkansas,89
Iowa,89
West Virginia,81
Idaho,77
Alaska,
Indiana,72
South Carolina,72
Wisconsin,69
Montana,69
North Carolina,67
Alabama,65
Virginia,65
Kentucky,64
Hawaii,64
Ohio,64
Nebraska,63
North Dakota,
Minnesota,61
Connecticut,61
Arizona,61
Tennessee,61
New Jersey,61
Pennsylvania,60
Oklahoma,60
Mississippi,59
New Hampshire,59
Kansas,59
Maryland,59
Nevada,59
Michigan,57
Louisiana,56
Vermont,
Georgia,55
Missouri,53
Florida,53
Illinois,52
Texas,51
Colorado,51
Maine,51
California,50
Rhode Island,48
Utah,47
Washington,46
New Mexico,44
District of Columbia,42
New York,40
Massachusetts,40
Oregon,32
Wyoming,
