Category: All categories

Region,illegal drugs: (2010)
Wyoming,
Iowa,100
West Virginia,95
Idaho,89
South Dakota,88
Montana,80
Arkansas,76
Alaska,
Utah,69
Kentucky,69
Nebraska,63
Indiana,58
Pennsylvania,56
New Mexico,56
Delaware,54
Maine,53
Missouri,53
Hawaii,53
Connecticut,52
Oklahoma,52
Florida,52
Louisiana,51
Ohio,51
Nevada,51
North Carolina,50
South Carolina,50
Rhode Island,50
Tennessee,50
Oregon,49
Alabama,48
Minnesota,48
Texas,48
Colorado,47
Mississippi,47
Washington,46
Arizona,46
Michigan,45
Kansas,45
Georgia,44
Illinois,44
Wisconsin,43
North Dakota,
Maryland,42
New York,41
New Jersey,41
District of Columbia,39
New Hampshire,36
Massachusetts,30
California,25
Vermont,
Virginia,19
