Category: All categories

Region,illegal drugs: (2018)
Wyoming,
West Virginia,100
Alabama,98
Missouri,94
Kansas,92
Iowa,90
Arkansas,84
Kentucky,83
Indiana,83
Nevada,81
Maine,81
North Dakota,
Idaho,81
Ohio,79
Oklahoma,79
Delaware,77
Utah,77
New Jersey,75
Minnesota,75
Georgia,75
Pennsylvania,73
Nebraska,73
Montana,73
Wisconsin,71
Texas,71
North Carolina,71
Louisiana,71
Tennessee,71
Rhode Island,69
Arizona,69
Maryland,67
South Carolina,67
New Hampshire,67
Mississippi,67
Oregon,67
South Dakota,66
Florida,64
Washington,64
Colorado,64
Michigan,64
Illinois,64
Virginia,62
Connecticut,62
California,58
New Mexico,58
District of Columbia,58
New York,52
Massachusetts,49
Hawaii,49
Vermont,
Alaska,
