Category: All categories

Region,illegal drugs: (2011)
West Virginia,100
Mississippi,84
Louisiana,83
Iowa,83
Vermont,
New Mexico,78
Alaska,
Arkansas,75
Indiana,73
New Hampshire,67
South Dakota,67
Nevada,66
Nebraska,65
Tennessee,64
Wisconsin,64
Kansas,64
Oklahoma,61
Hawaii,60
Alabama,60
Pennsylvania,60
Ohio,60
South Carolina,60
North Carolina,60
Utah,60
Kentucky,59
Maryland,58
Oregon,58
Idaho,57
Virginia,57
Minnesota,56
Rhode Island,56
Missouri,56
Florida,55
Texas,54
Georgia,54
Wyoming,
Washington,53
Michigan,53
New Jersey,51
Delaware,51
Arizona,50
Colorado,50
Connecticut,48
North Dakota,
Montana,44
Illinois,43
District of Columbia,43
New York,43
California,43
Massachusetts,42
Maine,41
