Category: All categories

Region,illegal drugs: (2006)
South Dakota,100
Vermont,
West Virginia,81
Mississippi,73
Kansas,71
Idaho,68
Indiana,65
Kentucky,61
New Mexico,54
Tennessee,51
Alabama,51
South Carolina,50
Oklahoma,50
New Hampshire,50
Maryland,50
Hawaii,49
Michigan,48
Arkansas,46
Oregon,46
Illinois,46
Texas,46
Iowa,45
Georgia,45
Rhode Island,43
New Jersey,43
Wisconsin,43
Ohio,42
Missouri,42
Pennsylvania,41
Utah,39
Florida,37
Arizona,36
Louisiana,36
Virginia,36
North Carolina,35
Connecticut,33
Washington,32
Colorado,32
Minnesota,32
New York,31
Alaska,
Nevada,28
Maine,27
Nebraska,27
California,26
Massachusetts,25
District of Columbia,14
Delaware,
Montana,
North Dakota,
Wyoming,
