Category: All categories

Region,family stress: (2005)
Oklahoma,100
Oregon,31
Indiana,29
Missouri,27
Maryland,26
Michigan,26
Utah,26
Arizona,25
Virginia,24
Ohio,24
Connecticut,23
Wisconsin,21
Texas,19
New York,18
Colorado,17
North Carolina,16
California,15
Washington,15
Florida,15
Minnesota,13
Tennessee,12
District of Columbia,
Illinois,7
Pennsylvania,6
New Jersey,5
Alaska,
Alabama,
Arkansas,
Delaware,
Georgia,
Hawaii,
Iowa,
Idaho,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Rhode Island,
South Carolina,
South Dakota,
Vermont,
West Virginia,
Wyoming,
