Category: All categories

Region,mental health: (2015)
Montana,100
Minnesota,94
Vermont,85
New Hampshire,80
Alaska,77
Maine,77
Colorado,76
Mississippi,74
Massachusetts,70
Iowa,70
Maryland,69
Wisconsin,68
South Carolina,66
Missouri,64
Washington,64
Oregon,64
Alabama,63
District of Columbia,63
South Dakota,62
North Dakota,62
Wyoming,62
Michigan,61
Kansas,60
Idaho,60
Rhode Island,60
Tennessee,59
New Mexico,57
Connecticut,56
Utah,56
New York,55
Nebraska,55
Pennsylvania,54
North Carolina,54
Ohio,54
Louisiana,54
Delaware,53
West Virginia,52
Indiana,51
Arkansas,51
California,50
Illinois,47
New Jersey,47
Oklahoma,45
Georgia,45
Nevada,45
Florida,44
Arizona,40
Kentucky,40
Texas,36
Hawaii,35
Virginia,33
