Category: All categories

Region,mental health: (2021)
Minnesota,100
Kansas,98
New Hampshire,90
Vermont,87
Iowa,87
District of Columbia,85
Mississippi,83
North Dakota,80
Montana,79
Oklahoma,79
Colorado,78
Utah,77
Maryland,76
Washington,75
South Carolina,74
Nebraska,74
Indiana,73
Alaska,73
Oregon,72
Idaho,71
Wisconsin,71
South Dakota,70
Alabama,70
Tennessee,69
Virginia,67
Massachusetts,67
Connecticut,66
Illinois,65
California,65
Missouri,64
New York,64
Wyoming,64
Michigan,64
Rhode Island,63
Arkansas,62
Georgia,62
Ohio,62
Delaware,62
Pennsylvania,61
New Mexico,60
North Carolina,60
Kentucky,60
Louisiana,60
Maine,59
West Virginia,59
Arizona,58
Nevada,57
Florida,56
New Jersey,55
Texas,49
Hawaii,49
