Category: All categories

Region,mental health: (2006)
Alaska,100
Maine,90
Vermont,89
New Hampshire,83
South Carolina,77
Mississippi,76
Maryland,75
Kansas,75
Colorado,73
Rhode Island,69
North Carolina,68
Massachusetts,67
Washington,66
Montana,66
Oregon,65
Minnesota,65
Delaware,64
New Mexico,64
Oklahoma,63
Alabama,63
Missouri,63
Iowa,62
District of Columbia,61
Nebraska,61
Wisconsin,61
Indiana,60
Utah,59
Michigan,59
Tennessee,56
Virginia,55
South Dakota,54
West Virginia,54
Louisiana,53
Kentucky,53
Idaho,52
North Dakota,52
Ohio,52
Connecticut,51
Pennsylvania,49
Nevada,49
New York,48
Wyoming,48
Illinois,46
Georgia,44
California,44
Florida,42
Hawaii,41
Arkansas,40
Arizona,39
New Jersey,39
Texas,34
