Category: All categories

Region,mental health: (2009)
New Hampshire,100
Kansas,90
Vermont,90
Alaska,85
Maine,83
Iowa,81
Wyoming,80
Montana,77
Massachusetts,76
Maryland,76
Minnesota,74
Oregon,73
South Carolina,72
Utah,71
North Carolina,70
Colorado,70
New Mexico,69
Tennessee,68
Mississippi,68
Oklahoma,67
Rhode Island,67
Alabama,67
Wisconsin,67
North Dakota,65
Washington,64
Nebraska,63
Indiana,63
New York,63
Delaware,62
Idaho,61
Louisiana,60
Missouri,60
West Virginia,59
Michigan,59
Connecticut,57
Arkansas,57
District of Columbia,57
Pennsylvania,56
Florida,55
Kentucky,54
South Dakota,52
Ohio,52
Nevada,51
Illinois,50
Georgia,42
Hawaii,42
New Jersey,41
Arizona,41
Texas,40
California,37
Virginia,29
