Category: All categories

Region,mental health: (2018)
Minnesota,100
Kansas,90
New Hampshire,87
Vermont,85
Iowa,83
Montana,83
Oregon,82
District of Columbia,81
Colorado,80
Alaska,79
Mississippi,77
New York,77
North Dakota,75
Washington,73
Wisconsin,72
Massachusetts,71
Maryland,70
Oklahoma,70
Alabama,69
South Carolina,67
Michigan,65
Virginia,65
Utah,64
Tennessee,63
Louisiana,62
South Dakota,62
Indiana,61
Pennsylvania,61
Missouri,61
Ohio,60
Connecticut,60
Maine,60
Idaho,59
Rhode Island,58
Nebraska,58
Delaware,57
North Carolina,57
California,56
Wyoming,56
Illinois,55
Nevada,54
Arkansas,53
West Virginia,53
Florida,53
New Jersey,49
Arizona,49
Kentucky,49
Georgia,48
New Mexico,45
Hawaii,42
Texas,40
