Category: All categories

Region,mental health: (2016)
Minnesota,100
Montana,94
Vermont,84
New Hampshire,77
Colorado,74
Iowa,74
Oregon,73
Kansas,71
Alaska,70
Alabama,69
Maryland,68
Oklahoma,67
Mississippi,66
Washington,66
Maine,66
Louisiana,64
South Carolina,64
Massachusetts,63
Wisconsin,62
New York,62
Wyoming,61
North Dakota,60
Missouri,60
Michigan,60
Utah,59
Idaho,57
Pennsylvania,57
District of Columbia,57
Tennessee,56
Rhode Island,56
Virginia,56
South Dakota,55
North Carolina,55
Connecticut,55
Indiana,54
Ohio,52
Nebraska,52
West Virginia,51
Delaware,51
New Mexico,50
Florida,49
California,47
Illinois,46
Arkansas,46
Georgia,44
New Jersey,42
Nevada,42
Arizona,41
Kentucky,40
Hawaii,37
Texas,34
