Category: All categories

Region,mental health: (2019)
Minnesota,100
New Hampshire,91
Kansas,90
District of Columbia,87
Vermont,84
Colorado,84
Iowa,81
Montana,79
New York,78
Alaska,76
Oregon,74
Massachusetts,73
Mississippi,73
Oklahoma,72
South Carolina,71
Washington,70
Maryland,68
Alabama,68
Tennessee,68
North Dakota,67
Utah,67
Wisconsin,66
Nebraska,65
Missouri,64
Delaware,64
Idaho,63
Indiana,63
Michigan,62
Wyoming,62
Connecticut,61
Virginia,61
Louisiana,60
California,60
South Dakota,60
Maine,59
Ohio,58
Rhode Island,57
Pennsylvania,57
Nevada,57
Illinois,55
Kentucky,55
Arkansas,54
New Jersey,52
West Virginia,51
North Carolina,50
Florida,50
Arizona,49
Georgia,49
New Mexico,43
Texas,42
Hawaii,42
