Category: All categories

Region,mental health: (2010)
Montana,100
New Hampshire,91
Alaska,89
Kansas,88
Maine,81
Iowa,79
Minnesota,78
Maryland,75
Alabama,74
Wyoming,72
South Carolina,70
Massachusetts,70
Mississippi,69
Colorado,69
Oregon,68
Delaware,68
Rhode Island,67
West Virginia,67
Tennessee,67
Louisiana,66
Indiana,65
New Mexico,65
North Carolina,64
Wisconsin,64
Utah,62
Nebraska,62
New York,62
Oklahoma,62
Washington,61
South Dakota,58
North Dakota,58
Missouri,57
Michigan,56
Connecticut,56
District of Columbia,55
Arkansas,55
Florida,54
Pennsylvania,53
Illinois,52
Idaho,52
Ohio,51
Nevada,50
Vermont,50
Kentucky,50
New Jersey,42
Arizona,42
Georgia,41
Hawaii,39
Texas,36
California,30
Virginia,25
