Category: All categories

Region,mental health: (2005)
Alaska,100
Maine,84
Vermont,75
New Hampshire,75
South Carolina,65
North Carolina,63
Mississippi,63
Colorado,62
Massachusetts,61
Oregon,60
Montana,59
Kansas,58
Wyoming,58
Maryland,58
Missouri,57
Delaware,57
Indiana,57
Rhode Island,56
District of Columbia,55
Oklahoma,55
Washington,53
New Mexico,53
Minnesota,53
Tennessee,50
Wisconsin,49
Michigan,49
Iowa,49
Utah,48
Nebraska,47
Pennsylvania,47
Connecticut,46
Kentucky,45
North Dakota,45
Alabama,45
Idaho,44
South Dakota,44
Illinois,43
West Virginia,42
Ohio,42
New York,41
Louisiana,39
Florida,39
Virginia,39
Georgia,37
Nevada,37
Hawaii,37
California,35
Arkansas,34
New Jersey,33
Arizona,33
Texas,29
