Category: All categories

Region,mental health: (2011)
Vermont,100
Montana,95
Alaska,94
New Hampshire,92
Mississippi,83
Maine,83
Kansas,82
Minnesota,80
Colorado,79
Massachusetts,70
Rhode Island,69
Washington,69
Wyoming,68
Alabama,68
North Dakota,68
Oklahoma,68
Utah,68
Maryland,67
Oregon,66
North Carolina,65
Iowa,65
Michigan,62
Tennessee,61
South Carolina,61
Wisconsin,61
Idaho,60
Louisiana,59
Nebraska,58
Delaware,56
South Dakota,55
Pennsylvania,54
Missouri,54
New York,52
Connecticut,51
New Mexico,51
Indiana,51
West Virginia,51
District of Columbia,50
Florida,50
Ohio,49
Arkansas,49
Illinois,47
Virginia,46
Nevada,46
Kentucky,46
Hawaii,45
California,45
Georgia,42
New Jersey,42
Arizona,37
Texas,31
