Category: All categories

Region,mental health: (2004)
Wyoming,100
New Hampshire,96
Vermont,81
Maine,77
Maryland,69
Colorado,67
South Carolina,67
District of Columbia,66
Kansas,66
Alaska,66
Missouri,65
Massachusetts,63
North Dakota,63
Alabama,61
North Carolina,61
Indiana,59
Iowa,59
Oregon,59
Mississippi,58
Washington,58
Minnesota,57
West Virginia,56
Tennessee,56
Rhode Island,56
Wisconsin,56
Michigan,55
Montana,54
New Mexico,53
Utah,53
Connecticut,53
New York,51
South Dakota,51
Oklahoma,50
Arkansas,50
Nebraska,49
Pennsylvania,48
Kentucky,48
Illinois,48
Louisiana,47
Ohio,47
Virginia,45
Georgia,45
Delaware,45
Florida,43
Hawaii,43
Arizona,40
Idaho,39
New Jersey,39
California,36
Nevada,35
Texas,35
