Category: All categories

Region,mental health: (2012)
Montana,100
Vermont,92
Maine,88
New Hampshire,85
Alaska,82
Minnesota,80
Kansas,77
Colorado,76
Wyoming,76
Mississippi,74
Oregon,72
Rhode Island,72
Massachusetts,71
North Dakota,70
Alabama,69
Iowa,69
Maryland,68
Wisconsin,67
Tennessee,64
Michigan,64
Oklahoma,64
Utah,63
Washington,61
Idaho,60
North Carolina,59
South Carolina,58
Nebraska,58
Delaware,56
New Mexico,56
Pennsylvania,56
Virginia,56
Missouri,55
South Dakota,54
New York,54
Ohio,51
District of Columbia,51
Arkansas,50
Indiana,49
Florida,49
Connecticut,48
West Virginia,48
California,48
Louisiana,48
Illinois,47
Georgia,44
Nevada,44
New Jersey,44
Kentucky,43
Hawaii,42
Arizona,34
Texas,32
