Category: All categories

Region,common ways to die: (2007)
Wyoming,
Idaho,
Louisiana,
Connecticut,
Massachusetts,
Wisconsin,
Florida,
New York,
Alaska,
Alabama,
Arkansas,
Arizona,
California,
Colorado,
District of Columbia,
Delaware,
Georgia,
Hawaii,
Iowa,
Illinois,
Indiana,
Kansas,
Kentucky,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Texas,
Utah,
Virginia,
Vermont,
Washington,
West Virginia,
