Category: All categories

Region,common ways to die: (2009)
Mississippi,
Connecticut,
Idaho,
Kentucky,
South Carolina,
District of Columbia,
Pennsylvania,
Oklahoma,
Ohio,
California,
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
Delaware,
Florida,
Georgia,
Hawaii,
Iowa,
Illinois,
Indiana,
Kansas,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
New York,
Oregon,
Rhode Island,
South Dakota,
Tennessee,
Texas,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Wyoming,
