Category: All categories

Region,common ways to die: (2015)
Rhode Island,
Idaho,
Mississippi,
Kansas,
Connecticut,
South Carolina,
Wisconsin,
Iowa,
Oregon,
Kentucky,
Ohio,
District of Columbia,
Indiana,
Arizona,
Washington,
Pennsylvania,
California,
Georgia,
Massachusetts,
New Jersey,
Florida,
Virginia,
New York,
Texas,
Alaska,
Alabama,
Arkansas,
Colorado,
Delaware,
Hawaii,
Illinois,
Louisiana,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
South Dakota,
Tennessee,
Utah,
Vermont,
West Virginia,
Wyoming,
