Category: All categories

Region,therapy: (2009)
Oregon,100
North Dakota,96
New Mexico,93
South Dakota,92
Montana,92
Massachusetts,91
Pennsylvania,91
West Virginia,91
Washington,91
Maryland,90
North Carolina,90
Connecticut,90
Colorado,89
Tennessee,88
Idaho,87
Delaware,87
Indiana,87
Wyoming,87
New York,87
Michigan,86
Nebraska,86
New Hampshire,86
Maine,85
Ohio,85
Minnesota,85
Arizona,85
Vermont,84
Florida,84
Rhode Island,83
Louisiana,82
Missouri,81
Wisconsin,81
Utah,81
Illinois,80
South Carolina,78
New Jersey,78
Kentucky,77
Iowa,77
Oklahoma,76
Mississippi,75
Georgia,75
Arkansas,75
Texas,75
District of Columbia,73
Alaska,72
Kansas,70
Hawaii,69
Alabama,69
Nevada,67
California,62
Virginia,43
