Category: All categories

Region,therapy: (2005)
North Dakota,100
Wyoming,94
New Mexico,86
West Virginia,85
Mississippi,82
Montana,82
Maine,81
Kentucky,80
Massachusetts,79
Nebraska,76
Utah,76
Vermont,75
Idaho,74
Arkansas,72
South Dakota,72
Delaware,71
Washington,70
Oregon,70
New York,70
Pennsylvania,69
Rhode Island,69
California,69
Connecticut,69
New Hampshire,69
Colorado,69
Iowa,68
Kansas,68
Louisiana,67
Missouri,66
Indiana,66
Minnesota,66
Alabama,65
Tennessee,65
Wisconsin,65
New Jersey,64
Ohio,64
Illinois,64
Hawaii,63
Arizona,63
North Carolina,62
Florida,62
Oklahoma,62
Texas,61
South Carolina,61
Alaska,61
Maryland,61
Georgia,58
Virginia,57
Michigan,56
District of Columbia,54
Nevada,54
