Category: All categories

Region,therapy: (2016)
Connecticut,100
Montana,99
Maine,97
Delaware,97
Idaho,96
New Jersey,94
Arizona,93
Rhode Island,93
New Hampshire,92
Pennsylvania,92
Nebraska,91
Massachusetts,91
Colorado,91
Washington,91
Alaska,90
Utah,89
Vermont,88
Maryland,87
Oregon,87
West Virginia,86
Iowa,86
Tennessee,85
New York,85
Virginia,85
Minnesota,85
Arkansas,84
Wyoming,84
North Dakota,83
New Mexico,83
Michigan,80
Kentucky,80
Wisconsin,80
South Dakota,79
Oklahoma,79
Louisiana,79
Alabama,79
Ohio,78
Kansas,78
Hawaii,77
South Carolina,76
Illinois,76
Missouri,76
North Carolina,76
Indiana,75
California,75
Florida,74
District of Columbia,73
Nevada,71
Georgia,68
Mississippi,68
Texas,63
