Category: All categories

Region,therapy: (2007)
New Mexico,100
West Virginia,100
North Dakota,96
Vermont,94
Wyoming,93
Maine,91
Pennsylvania,89
Tennessee,87
Nebraska,86
Montana,85
Wisconsin,84
New Hampshire,84
South Dakota,83
Delaware,83
Massachusetts,79
New York,79
Rhode Island,79
Connecticut,79
North Carolina,78
Idaho,78
Arkansas,77
Maryland,77
Washington,77
Minnesota,77
Arizona,76
Iowa,76
Mississippi,76
Ohio,75
Utah,74
Florida,74
Colorado,74
Michigan,74
Oregon,72
New Jersey,72
Missouri,72
Illinois,71
Texas,71
Alaska,70
Louisiana,70
Kentucky,69
Alabama,68
Virginia,68
Kansas,68
South Carolina,67
District of Columbia,67
Oklahoma,67
Indiana,67
Hawaii,66
California,65
Georgia,63
Nevada,62
