Category: All categories

Region,therapy: (2015)
Connecticut,100
Maine,97
Idaho,97
Montana,95
Massachusetts,94
Washington,93
Maryland,93
West Virginia,92
North Carolina,92
Rhode Island,91
Arizona,91
Delaware,91
Nebraska,91
Pennsylvania,91
Wyoming,90
Colorado,89
New Mexico,88
New Jersey,87
Utah,87
Vermont,87
Louisiana,86
New Hampshire,85
Minnesota,84
Iowa,84
New York,84
Tennessee,84
North Dakota,82
Michigan,82
Florida,81
Arkansas,81
Wisconsin,81
District of Columbia,80
Alaska,80
South Dakota,80
Kentucky,78
Ohio,78
Indiana,78
Mississippi,77
Missouri,77
Alabama,76
Oklahoma,75
California,74
South Carolina,73
Illinois,73
Oregon,73
Hawaii,72
Nevada,70
Texas,69
Georgia,65
Kansas,63
Virginia,54
