Category: All categories

Region,therapy: (2021)
Idaho,100
North Dakota,91
Rhode Island,90
Utah,90
Montana,90
Alaska,88
Washington,87
Colorado,87
Wyoming,87
Nebraska,87
Delaware,86
Arizona,86
Maryland,84
Kansas,84
Massachusetts,83
Connecticut,83
Maine,82
Vermont,82
Kentucky,80
Oregon,80
New Mexico,80
Pennsylvania,80
South Dakota,79
Arkansas,79
Iowa,79
New Jersey,78
Tennessee,77
Louisiana,77
Oklahoma,76
New York,76
Michigan,76
New Hampshire,76
Virginia,76
Illinois,76
District of Columbia,75
West Virginia,75
Florida,74
Nevada,73
South Carolina,73
Indiana,73
Minnesota,73
North Carolina,71
Missouri,70
Hawaii,70
Ohio,70
California,69
Wisconsin,68
Alabama,67
Texas,66
Mississippi,65
Georgia,65
