Category: All categories

Region,therapy: (2020)
Idaho,100
Washington,99
North Dakota,98
Utah,98
Alaska,97
Wyoming,97
Montana,96
Pennsylvania,94
Colorado,94
Massachusetts,92
Delaware,92
Virginia,92
Oregon,92
Maryland,90
Connecticut,90
New York,89
Nebraska,88
West Virginia,87
New Jersey,86
Kansas,85
Arizona,84
Rhode Island,84
Arkansas,84
Oklahoma,83
South Dakota,83
Maine,82
New Hampshire,82
Louisiana,82
New Mexico,82
Kentucky,82
Tennessee,82
Minnesota,81
Florida,81
Alabama,81
Vermont,81
Nevada,81
Iowa,80
Michigan,80
California,80
North Carolina,79
Illinois,79
South Carolina,79
Mississippi,75
Missouri,75
Ohio,75
Hawaii,74
Indiana,73
District of Columbia,72
Texas,71
Wisconsin,71
Georgia,69
