Category: All categories

Region,therapy: (2013)
Maine,100
Connecticut,99
Nebraska,97
Pennsylvania,96
Washington,95
New Mexico,92
Delaware,92
Arizona,92
Maryland,91
Idaho,91
Wyoming,91
Utah,90
Massachusetts,90
Rhode Island,90
Montana,90
West Virginia,90
Vermont,90
New Jersey,89
Tennessee,86
Virginia,86
Arkansas,86
New York,84
New Hampshire,83
Michigan,81
Kentucky,81
Oklahoma,80
North Carolina,80
Minnesota,80
South Dakota,80
North Dakota,80
Alaska,79
South Carolina,79
Colorado,79
Alabama,78
Louisiana,78
Wisconsin,78
California,78
Iowa,78
Ohio,77
Indiana,76
Nevada,76
Florida,75
Missouri,74
District of Columbia,72
Illinois,71
Texas,71
Hawaii,71
Georgia,71
Mississippi,71
Kansas,69
Oregon,61
