Category: All categories

Region,therapy: (2006)
North Dakota,100
New Mexico,90
West Virginia,89
Montana,89
Vermont,86
Delaware,86
Massachusetts,85
Mississippi,84
South Dakota,81
Alabama,80
Pennsylvania,80
Iowa,79
Maine,79
Alaska,78
Idaho,78
New York,78
North Carolina,77
New Hampshire,77
Washington,76
Louisiana,76
New Jersey,76
Arkansas,76
Utah,76
Rhode Island,75
Missouri,74
Tennessee,74
Kansas,74
Kentucky,73
Nebraska,73
Colorado,73
Michigan,73
Oregon,72
Wisconsin,72
Minnesota,72
Illinois,72
Maryland,72
Wyoming,71
California,71
Arizona,71
Oklahoma,71
Ohio,70
South Carolina,69
Connecticut,69
Texas,68
Indiana,68
Florida,67
Virginia,63
Nevada,62
Georgia,62
Hawaii,59
District of Columbia,56
