Category: All categories

Region,therapy: (2011)
Maine,100
Washington,99
New Mexico,97
Wyoming,95
Utah,94
Vermont,93
North Dakota,93
Pennsylvania,93
Connecticut,93
Oregon,91
Massachusetts,91
Idaho,91
New Hampshire,91
Arizona,90
South Dakota,89
Nebraska,88
Montana,87
Tennessee,87
Rhode Island,87
Louisiana,86
Kentucky,86
Colorado,85
Maryland,85
Arkansas,85
New Jersey,85
Wisconsin,84
Mississippi,84
Kansas,84
South Carolina,83
Delaware,83
Minnesota,82
Alabama,81
Ohio,81
North Carolina,81
West Virginia,80
Iowa,80
Oklahoma,80
California,79
New York,79
Alaska,79
Nevada,77
Indiana,77
Florida,77
Missouri,77
Michigan,75
Virginia,75
Illinois,74
Georgia,68
Texas,68
District of Columbia,67
Hawaii,65
