Category: All categories

Region,therapy: (2018)
New York,100
Idaho,97
Montana,96
Alaska,96
Connecticut,96
Utah,95
Colorado,95
Oregon,94
Maryland,94
Vermont,92
North Dakota,92
Washington,92
Nebraska,91
Rhode Island,91
Arkansas,90
Delaware,90
Maine,90
Massachusetts,89
Arizona,87
New Hampshire,87
Pennsylvania,87
Michigan,87
West Virginia,87
New Jersey,86
Iowa,86
Virginia,85
South Dakota,84
Wyoming,82
Kentucky,81
District of Columbia,81
Kansas,80
Mississippi,79
Tennessee,79
Minnesota,79
New Mexico,78
Louisiana,77
Indiana,77
Wisconsin,76
Missouri,76
North Carolina,76
Illinois,75
Florida,75
Oklahoma,75
California,75
South Carolina,74
Nevada,73
Hawaii,72
Alabama,71
Georgia,69
Texas,67
Ohio,67
