Category: All categories

Region,therapy: (2004)
South Dakota,100
West Virginia,99
Montana,99
Kentucky,98
Maine,96
Wyoming,96
North Dakota,95
New Mexico,94
Louisiana,93
Utah,93
Mississippi,92
Nebraska,91
Delaware,91
Oregon,86
Tennessee,85
Iowa,85
Rhode Island,83
Wisconsin,82
Missouri,81
Arkansas,81
Vermont,81
New York,80
Colorado,80
New Hampshire,79
Kansas,79
Connecticut,79
North Carolina,78
Hawaii,78
Arizona,78
Oklahoma,77
Maryland,77
Pennsylvania,77
Alabama,77
Massachusetts,76
Texas,76
Minnesota,75
South Carolina,75
Indiana,73
Idaho,71
Washington,69
California,67
Michigan,67
Illinois,67
New Jersey,66
Ohio,66
District of Columbia,65
Alaska,65
Florida,65
Virginia,64
Nevada,63
Georgia,63
